schema,pos rule,pos keywords,A pos legal advice,B pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis,risk statement,jiaoyan error advice,user show name,classify
标题,识别,离婚协议|自愿离婚协议,,,未识别,,协议的标题缺失，建议写明“离婚协议”等字样。,低,【《中华人民共和国民法典》第一千零七十六条】夫妻双方自愿离婚的，应当签订书面离婚协议，并亲自到婚姻登记机关申请离婚登记。,,,合同标题条款审核,合同标题审核
甲方（男方）姓名,识别,甲方|协议人,,,未识别,,男方姓名缺失，建议补充完整。,中,,男方姓名应当与结婚证上的姓名一致。,,合同主体名称审核,合同主体审核
男方身份证号,身份证号校验,,,,未识别,,男方身份证号缺失，建议补充完整。,中,,,男方身份证号校验错误，建议核实。,合同主体规范性审核,合同主体审核
男方地址,识别,现住.*,,,未识别,,男方地址缺失，建议补充完整。,中,,,,合同主体联系地址审核,合同主体审核
男方联系方式,联系方式校验,,,,未识别,,男方联系方式缺失，建议补充完整。,中,,,男方联系方式校验错误，建议核实。,合同主体联系方式审核,合同主体审核
乙方（女方）姓名,识别,乙方|协议人,,,未识别,,女方姓名缺失，建议补充完整。,中,,女方姓名应当与结婚证上的姓名一致。,,合同主体名称审核,合同主体审核
女方身份证号,身份证号校验,,,,未识别,,女方身份证号缺失，建议补充完整。,中,,,女方身份证号校验错误，建议核实。,合同主体规范性审核,合同主体审核
女方联系方式,联系方式校验,,,,未识别,,女方联系方式缺失，建议补充完整。,中,,,女方联系方式校验错误，建议核实。,合同主体联系方式审核,合同主体审核
女方地址,识别,现住.*,,,未识别,,女方地址缺失，建议补充完整。,中,,,,合同主体联系地址审核,合同主体审核
鉴于条款,失效法律规定审核,,,,未识别,,,低,,,法条引用错误，《民法典》自2021年1月1日起施行《中华人民共和国婚姻法》、《中华人民共和国继承法》、《中华人民共和国民法通则》、《中华人民共和国收养法》、《中华人民共和国担保法》、《中华人民共和国合同法》、《中华人民共和国物权法》、《中华人民共和国侵权责任法》、《中华人民共和国民法总则》同时废止。,合同背景条款审核,合同背景审核
结婚登记信息,识别,.*民政局登记结婚,,,未识别,,"结婚登记信息条款缺失，建议补充完整。
离婚协议书中建议写明结婚登记时间、登记机关。",中,,结婚登记是离婚登记的前提，结婚登记信息是离婚协议的常备条款。,,婚姻背景审核,婚姻背景审核
离婚原因,识别,感情破裂|协商.*离婚|性格不合,,,未识别,,离婚原因缺失，建议补充完整。,中,,离婚原因与是否自愿离婚直接相关，离婚协议书中建议载明双方感情破裂，无和好可能，自愿离婚的意思表示。,,离婚原因审核,离婚原因审核
自愿离婚,识别,自愿.*离婚,,,未识别,,自愿离婚条款缺失，建议补充完整。,高,【《中华人民共和国民法典》第一千零七十八条】婚姻登记机关查明双方确实是自愿离婚，并已经对子女抚养、财产以及债务处理等事项协商一致的，予以登记，发给离婚证。,离婚协议书中应载明双方自愿离婚的意思表示。未表明自愿离婚可能会影响离婚登记。,,自愿离婚意思表示审核,自愿离婚意思表示审核
