文档名,文本内容,schema,审核意见
maimai1,40000元（大写：肆万陆千元整）,产品总价,金额的大小写校验错误，建议核实。
maimai1,本价格系不含税价格，不开具发票，如需开票，需另行支付税费后开具。,开票缺失,填开发票的单位和个人必须在发生经营业务确认营业收入时开具发票。
maimai1,本合同签订之日起7日内交货。如供应商缺货等原因，导致一方延迟交货，乙方不承担违约责任。,交货时间,交付期限未严格按照合同约定执行，增加买方风险，建议核实。
maimai1,甲方指定地址,交货地点,"交货地点条款缺失或约定不明确，建议补充完整。
买卖双方应当按照约定的地点交付货物，当事人没有约定标的物的交付期限或者约定不明确的，可以协议补充；不能达成补充协议的，按照合同相关条款或者交易习惯确定。履行地点不明确，给付货币的，在接受货币一方所在地履行；交付不动产的，在不动产所在地履行；其他标的，在履行义务一方所在地履行。"
maimai1,甲方收到货物后当天检验，逾期视为验收合格，放弃向乙方提出质量问题的权利。,验收期限,验收期限约定过短，建议核实
maimai1,定金10000元,定金,约定的定金过高，建议核实。双方约定的定金不得超过合同总价的20%，超过的部分不产生定金的效力。
maimai1,359120546864217,账号,银行卡号校验错误，建议核实。
maimai1,当市场价格高于或低于合同约定价格的，双方可以另行议价。,产品单价,价格不固定，建议核实。如价格产生变动建议另行签署补充协议。
maimai1,因气候等因素造成合同无法履行，合同自动解除。,合同解除,合同解除条款约定不合理，增加交易风险
maimai1,"（一）交付的茶叶品种、质量等级不符合合同约定的，甲方有权要求乙方调换；交付茶叶的数量不符合合同约定的，甲方有权要求乙方补齐；给甲方造成损失的，乙方应承担赔偿责任。
（二）乙方迟延交货的，每迟延一日，应支付甲方合同总价10 %的违约金；
（三）甲方逾期支付货款的，每迟延一日，应支付乙方迟延货款额10%的违约金。
（四）因包装物质量不符合要求造成损失的，由乙方承担相应损失。",违约责任,"约定违约金的，违约金不得超过损失的30%。
此处日违约金折合为年违约金，已超过30%"
maimai1,发生争议的，由双方协商解决，协商不成可提交仲裁委员会仲裁，或向人民法院起诉。,争议解决,"争议解决条款缺失或约定不明确，建议补充完整。
如发生争议双方应友好协商解决。如果管辖法院约定不明确，一般应根据《民事诉讼法》第二十三条规定“因合同纠纷提起的诉讼，由被告住所地或者合同履行地人民法院管辖”。既约定仲裁又约定了诉讼的争议条款的，一般认定为无效条款。"
