schema,pos rule,pos keywords,A pos legal advice,B pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis,risk statement,jiaoyan error advice,user show name,classify
标题,识别,,,,未识别,,合同标题缺失，建议写明“采购合同”合同类型字样。合同标题若与合同性质不一致的，合同性质会以合同反映的真实法律关系为准。,低,【《中华人民共和国民法典》第五百九十五条】买卖合同是出卖人转移标的物的所有权于买受人，买受人支付价款的合同。,应在合同标题中准确反映合同性质，便于双方理解条款。,,合同标题条款审核,合同标题审核
签订地,识别,,,,未识别，不作审核,,,低,"【《中华人民共和国民法典》第四百九十二条】承诺生效的地点为合同成立的地点。
采用数据电文形式订立合同的，收件人的主营业地为合同成立的地点；没有主营业地的，其住所地为合同成立的地点。当事人另有约定的，按照其约定。|【《中华人民共和国民法典》第四百九十三条】当事人采用合同书形式订立合同的，最后签名、盖章或者按指印的地点为合同成立的地点，但是当事人另有约定的除外。",,,合同签署地条款审核,合同签订信息审核
甲方,公司名称校验,卖方|供货方,,,未识别,,甲方姓名或名称缺失，建议补充完整。,中,,甲方姓名或名称应当准确无误，同时要确保与签章内容相一致。,甲方名称校验错误，建议核实。,合同主体名称审核,合同主体审核
甲方身份证号/统一社会信用代码,身份证号校验|统一社会信用代码校验,,,,未识别,,"甲方身份证号/统一社会信用代码缺失，建议补充完整。
便于合同签订方据此审核对方企业的资信状况。",中,,,甲方身份证号/统一社会信用代码校验错误，建议核实。,合同主体规范性审核,合同主体审核
甲方法定代表人/授权代表,识别,,,,未识别，不作审核,,,低,,,,合同主体代表审核,合同主体审核
甲方地址,识别,,,,未识别,,甲方地址缺失，建议补充完整。,中,,,,通知与送达有效性审核,通知与送达审核
甲方联系方式,联系方式校验,,,,未识别,,甲方联系方式缺失，建议补充完整。,中,,,甲方联系方式校验错误，建议核实。,通知与送达有效性审核,通知与送达审核
乙方,公司名称校验,买方|需货方,,,未识别,,乙方姓名或名称缺失，建议补充完整。,中,,乙方姓名或名称应当准确无误，同时要确保与签章内容相一致。,乙方名称校验错误，建议核实。,合同主体名称审核,合同主体审核
乙方身份证号/统一社会信用代码,身份证号校验|统一社会信用代码校验,,,,未识别,,"乙方身份证号/统一社会信用代码缺失，建议补充完整。
便于合同签订方据此审核对方企业的资信状况。",中,,,乙方身份证号/统一社会信用代码校验错误，建议核实。,合同主体规范性审核,合同主体审核
乙方法定代表人/授权代表,识别,,,,未识别，不作审核,,,低,,,,合同主体代表审核,合同主体审核
