schema,pos rule,pos keywords,A pos legal advice,B pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis,risk statement,jiaoyan error advice,user show name,classify
标题,识别,,,,未识别,,建议补充完整“股权协议”合同类型字样，以避免合同类型产生争议。,低,,,,合同类型与交易需求相符审核,合同标题审核
甲方,公司名称校验,,注意代持股行为作为转让标的的风险，如确为代持股，则名义股东和出资人均应同意。一般应将名义股东和实际出资人均列入合同主体。,注意代持股行为作为转让标的的风险，如确为代持股，则名义股东和出资人均应同意。一般应将名义股东和实际出资人均列入合同主体。,未识别,,甲方姓名或名称缺失，建议补充完整。,中,,甲方姓名或名称应当准确无误，同时要确保与签章内容相一致。,甲方名称校验错误，建议核实。,合同主体履约能力审核,合同主体审核
甲方身份证号/统一社会信用代码,身份证号校验|统一社会信用代码校验,,,,未识别,,甲方身份证号/统一社会信用代码缺失，建议补充完整。,中,,,甲方身份证号校验错误，建议核实。|甲方统一社会信用代码校验错误，建议核实。,合同主体规范性审核,合同主体审核
甲方法定代表人/授权代表,识别,,,,未识别，不作审核,,,低,,,,合同主体代表审核,合同主体审核
甲方地址,识别,,,,未识别,,甲方地址缺失，建议补充完整。,,,,,通知与送达有效性审核,通知与送达审核
甲方联系方式,联系方式校验,,,,未识别,,甲方联系方式缺失，建议补充完整。,中,,,联系方式校验错误，建议核实。,通知与送达有效性审核,通知与送达审核
乙方,公司名称校验,,,,未识别,,乙方姓名或名称缺失，建议补充完整。,中,,乙方姓名或名称应当准确无误，同时要确保与签章内容相一致。,乙方名称校验错误，建议核实。,合同主体履约能力审核,合同主体审核
乙方身份证号/统一社会信用代码,身份证号校验|统一社会信用代码校验,,,,未识别,,乙方身份证号/统一社会信用代码缺失，建议补充完整。,中,,,乙方身份证号校验错误，建议核实。|乙方统一社会信用代码校验错误，建议核实。,合同主体规范性审核,合同主体审核
乙方法定代表人/授权代表,识别,,,,未识别，不作审核,,,低,,,,合同主体代表审核,合同主体审核
乙方地址,识别,,,,未识别,,乙方地址缺失，建议补充完整。,中,,,,通知与送达有效性审核,通知与送达审核
乙方联系方式,联系方式校验,,,,未识别,,乙方联系方式缺失，建议补充完整。,中,,,联系方式校验错误，建议核实。,通知与送达有效性审核,通知与送达审核
鉴于条款,识别,根据.*《中华人民共和国民法典》,,,未识别，不作审核,,,低,,,,合同背景条款审核,合同背景审核
目标公司信息,公司名称校验,,,,未识别,,目标公司信息条款缺失或约定不明确，建议补充完整。建议在签署股权转让合同之前，对目标公司进行审核调查，了解目标公司经营状况后决定是否受让股权。,高,,,乙方名称校验错误，建议核实。,目标公司经营状况审核,目标公司
出让人持股比例,识别,,,,未识别,,出让人持股比例条款缺失或约定不明确，建议补充完整。,中,,,,股权转让履约能力审核。,履约风险审核
出让人出资义务履行情况,识别,,,,未识别,,出让人出资义务履行情况条款缺失或约定不明确，建议补充完整。建议在签署股权转让合同之前，对转让方的实际出资情况进行审核调查，如存在虚假出资或者抽逃出资情形，建议尽量促使对方补足出资款或者通过调整股权对价来实际弥补出资。,中,,,,股权转让履约风险审核,履约风险审核
转让股权份额,识别,,,,未识别,,转让股权份额条款缺失或约定不明确，建议补充完整。,高,,转让股权份额条款是股权转让合同的必备条款。,,转让股权份额审核,转让价格及支付方式
转让价格,金额内部相等,,,,未识别,,转让价格条款,中,,转让价格应以汉字大写和阿拉伯数字小写表达，并应标注币种，以防被篡改。,金额的大小写校验错误，建议核实。,转让股权价格审核,转让价格及支付方式
支付方式,识别,,,,未识别,,支付方式条款缺失或约定不明确，建议补充完整。可约定银行转账、支付宝、微信、现金支付等支付方式，建议使用银行转账方式汇款，并汇款至本合同相对方，现金支付的，付款方应当场要求收款方交付支付凭证。,高,,付款应直接支付至合同相对方，避免因支付转让款发生争议。,,支付方式风险审核,转让价格及支付方式
