schema,pos rule,pos keywords,Part A pos legal advice,Part B pos legal advice,neg rule,neg keywords,Part A neg legal advice,Part B neg legal advice,risk level,legal basis,risk statement
标题,识别,,买卖合同是最常见的商业合同，每个行业都有自己的独特的买卖交易惯例，因此买卖合同的订立要在符合法律法规的同时体现交易习惯，精准运用行业术语。,买卖合同是最常见的商业合同，每个行业都有自己的独特的买卖交易惯例，因此买卖合同的订立要在符合法律法规的同时体现交易习惯，精准运用行业术语。,未识别,,"合同标题缺少
一般要在合同标题中准确反映合同性质，便于双方理解条款，但需注意，合同标题若与合同性质不一致的，合同性质会以合同反映的真实法律关系为准。","合同标题缺少
一般要在合同标题中准确反映合同性质，便于双方理解条款，但需注意，合同标题若与合同性质不一致的，合同性质会以合同反映的真实法律关系为准。",低,《民法典》第五百九十五条 买卖合同是出卖人转移标的物的所有权于买受人，买受人支付价款的合同。,买卖类合同是市场交易中最常见的合同类型之一，种类繁多，因此买卖合同应更注重细节处理，对交易中过程中的每一个细节都应约定明确，以免出现不必要的纠纷。本次审核针对一般货物买卖中的通用条款进行审核。
签订地,识别,,“合同签订地”是法定争议解决管辖方式之一，亦涉及合同签订背景。,“合同签订地”是法定争议解决管辖方式之一，亦涉及合同签订背景。,未识别，不作审核,,,,低,"《民法典》第四百九十二条　承诺生效的地点为合同成立的地点。
　　采用数据电文形式订立合同的，收件人的主营业地为合同成立的地点；没有主营业地的，其住所地为合同成立的地点。当事人另有约定的，按照其约定。
第四百九十三条　当事人采用合同书形式订立合同的，最后签名、盖章或者按指印的地点为合同成立的地点，但是当事人另有约定的除外。",
甲方,识别,,公司签订的买卖合同的，合同主体、签名盖章处均写明公司名称。法定代表人代表公司签字的，签字处应列明“法定代表人、授权代表”等字样。个人签订买卖合同的，合同主体应列明个人姓名、身份证号。,公司签订的买卖合同的，合同主体、签名盖章处均写明公司名称。法定代表人代表公司签字的，签字处应列明“法定代表人、授权代表”等字样。个人签订买卖合同的，合同主体应列明个人姓名、身份证号。,未识别,,甲方名称缺少，建议添加,甲方名称缺少，建议添加,高,,
甲方身份证号/统一社会信用代码,识别,外部接口,通过企业信息查询，可知晓另一方的资信状况、商业信誉等，以此来增加对相对方的了解，保障交易顺利进行,通过企业信息查询，可知晓另一方的资信状况、商业信誉等，以此来增加对相对方的了解，保障交易顺利进行,未识别,,甲方身份证号/统一社会信用代码缺少，建议添加，并且据此了解对方企业的资信状况,甲方身份证号/统一社会信用代码缺少，建议添加，并且据此了解对方企业的资信状况,高,,
甲方法定代表人/授权代表,识别,外部接口,买卖类合同中通常会有指定的联系人，另一方需查明对方联系人是否取得了真实授权，以及合同中的主要条款是否为对方所属公司的真实意思表示,买卖类合同中通常会有指定的联系人，另一方需查明对方联系人是否取得了真实授权，以及合同中的主要条款是否为对方所属公司的真实意思表示,未识别,,"甲方法定代表人/授权代表缺少
一般货物买卖合同都会有明确的联系人，由法人或者授权代表负责推进合同履行，因此需在合同中写明，便于双方沟通","甲方法定代表人/授权代表缺少
一般货物买卖合同都会有明确的联系人，由法人或者授权代表负责推进合同履行，因此需在合同中写明，便于双方沟通",高,,
甲方地址,识别,,,,未识别,,缺少双方地址信息，建议添加,缺少双方地址信息，建议添加,,,
甲方联系方式,比对,11位/8位比对,,,,,,,高,应保证合同载明的双方联系方式为有效联系方式，若双方在合同中有指定联系人的，还应载明指定联系人的有效联系方式，防止后续履行中出现沟通困难。,
乙方,识别,,公司签订的买卖合同的，合同主体、签名盖章处均写明公司名称。法定代表人代表公司签字的，签字处应列明“法定代表人、授权代表”等字样。个人签订买卖合同的，合同主体应列明个人姓名、身份证号。,公司签订的买卖合同的，合同主体、签名盖章处均写明公司名称。法定代表人代表公司签字的，签字处应列明“法定代表人、授权代表”等字样。个人签订买卖合同的，合同主体应列明个人姓名、身份证号。,未识别,,乙方名称缺少，建议添加,乙方名称缺少，建议添加,高,,
乙方身份证号/统一社会信用代码,识别,外部接口,通过企业信息查询，可知晓另一方的资信状况、企业资质等，以此来增加对相对方的了解，保障交易顺利进行,通过企业信息查询，可知晓另一方的资信状况、企业资质等，以此来增加对相对方的了解，保障交易顺利进行,,,乙方身份证号/统一社会信用代码缺少，建议添加，并且据此了解对方企业的资信状况,乙方身份证号/统一社会信用代码缺少，建议添加，并且据此了解对方企业的资信状况,高,,
乙方法定代表人/授权代表,识别,外部接口,买卖类合同中通常会有指定的联系人，另一方需查明对方联系人是否取得了真实授权，以及合同中的主要条款是否为对方公司的真实意思表示,买卖类合同中通常会有指定的联系人，另一方需查明对方联系人是否取得了真实授权，以及合同中的主要条款是否为对方公司的真实意思表示,未识别,,"乙方法定代表人/授权代表缺少
一般货物买卖合同都会有明确的联系人，由法人或者授权代表负责推进合同履行，因此需在合同中写明，便于双方沟通","乙方法定代表人/授权代表缺少
一般货物买卖合同都会有明确的联系人，由法人或者授权代表负责推进合同履行，因此需在合同中写明，便于双方沟通",高,,
