文档名,文本内容,schema,审核意见,审核结果
jiekuan-1,甲方因赌博资金周转向乙方借款,借款用途,借款用途不合法，建议核实。借款不能用于赌博、吸毒、购买枪支等违法犯罪行为，否则借条/借款合同无效。
jiekuan-1,甲方通过现金交付乙方借款本金扣除借款到期应付利息后的款项，视为借款交付完成。,预先扣除利息,预先扣除利息即砍头息为法律明确禁止，如合同中存在该条款，建议删除。
jiekuan-1,借款方如逾期不还借款，贷款方有权追回借款，并从到期日起付日息1%,违约责任,出借人与借款人既约定了逾期利率，又约定了违约金或者其他费用，出借人可以选择主张逾期利息、违约金或者其他费用，也可以一并主张，但是总计超过合同成立时一年期贷款市场报价利率四倍的部分，人民法院不予支持。
jiekuan-1,乙方将名下房屋抵押给甲方，如乙方在借款期限届满后不能偿还借款，乙方自愿其名下的房屋归甲方所有。,物保,违反法律、行政法规的强制性规定条款无效，建议删除，抵押权人在债务履行期限届满前，与抵押人约定债务人不履行到期债务时抵押财产归债权人所有的，只能依法就抵押财产优先受偿。
jiekuan-2,如未按本合同约定时间归还本息，每逾期一日，应按照未还本息的20%支付逾期利息。,逾期利率,2022年5月20日贷款市场报价利率（LPR）为：1年期LPR为3.7%。出借人与借款人既约定了逾期利率，又约定了违约金或者其他费用，出借人可以选择主张逾期利息、违约金或者其他费用，也可以一并主张，但是总计超过合同成立时一年期贷款市场报价利率四倍的部分，人民法院不予支持。
jiekuan-2,甲方如不按期付息还本，甲方抵押物房产自愿归乙方所有。,物保,违反法律、行政法规的强制性规定条款无效，建议删除，抵押权人在债务履行期限届满前，与抵押人约定债务人不履行到期债务时抵押财产归债权人所有的，只能依法就抵押财产优先受偿。
jiekuan-3,杭州市余杭区,借款方地址,乙方地址缺失，建议补充完整，地址信息建议具体至门牌号，以防产生诉讼时无法有效送达。
jiekuan-3,甲方因赌博后欠郭二妞七十万元人民币，无法偿还,借款用途,借款用途不合法，建议核实。借款不能用于赌博、吸毒、购买枪支等违法犯罪行为，否则借条/借款合同无效。
jiekuan-3,月息1.5%,借款利率,2022年8月22日贷款市场报价利率（LPR）为：1年期LPR为3.65%。约定的利率过高，建议核实。双方约定的利率不得超过合同成立时一年期贷款市场报价利率的四倍。
jiekuan-3,借款方如逾期不还借款，出借人有权追回借款，甲方从到期日起付日息1%。,违约责任,2022年8月22日贷款市场报价利率（LPR）为：1年期LPR为3.65%。约定的逾期利率过高，建议核实。双方约定的逾期利率不得超过合同成立时一年期贷款市场报价利率的四倍。
jiekuan-4,借款人同意贷款人在交付借款时时预先扣除，即交付借款人88000元后则视为借款全部交付。借款人应于借款期限届满之日一次性归还贷款人扣除利息后的借款。,预先扣除利息,预先扣除利息即砍头息为法律明确禁止，如合同中存在该条款，建议删除。【《中华人民共和国民法典》第六百七十条】 借款的利息不得预先在本金中扣除。利息预先在本金中扣除的，应当按照实际借款数额返还借款并计算利息。
jiekuan-1,杭州市余杭区蒋村科技路55号,借款方地址,,通过
jiekuan-1,甲方通过现金交付乙方,还款方式,,通过
jiekuan-1,借款时间共3年。自2023.1.1日起至2026.1.1止,借款期限,,通过
jiekuan-1,每一方同意使用本协议通知与送达条款送达与仲裁或强制执行仲裁裁决有关的传票、通知或其他文件。本协议通知与送达条款中得任何规定均不应影响一方以法律允许的其他方式送达上述传票、通知或其他文件的权利。,通知与送达,,通过
jiekuan-2,2024年5月31日,还款日期,,通过
jiekuan-2,本合同在双方签字并经抵押登记后生效条件。,合同生效,,通过
jiekuan-3,通过甲方支付指定账户交付甲方借款,借款支付方式,,通过
jiekuan-3,3年。自2023.1.1日起至2026.1.1止,借款期限,,通过
jiekuan-3,"借款方如逾期不还借款，出借人有权追回借款，甲方从到期日起付日息1%。
（二）出借人未按期提供借款，每逾期一日，应按未支付借款金额的千分之一付给借款方违约金。",违约责任,2022年8月22日贷款市场报价利率（LPR）为：1年期LPR为3.65%。约定的逾期利率过高，建议核实。双方约定的逾期利率不得超过合同成立时一年期贷款市场报价利率的四倍。,不通过
jiekuan-3,因本协议引起或与本协议有关的任何争议，双方同意将争议提交乙方所在地人民法院解决。,争议解决,,通过
jiekuan-4,于本合同签订之日以现金方式一次性交付借款人,借款支付方式,,通过
jiekuan-4,2022年12月31日,还款日期,,通过
jiekuan-4,于借款期限届满之日一次性归还,还款方式,,通过
jiekuan-4,如借款人未能按期还清，应按月利率1%计付逾期利息。因借款人未按期归还借款本金及利息，贷款人为实现债权而发生的所有费用（包括但不限于诉讼费用、律师代理费、差旅费等）应由借款人承担。,违约责任,,通过
jiekuan-4,保证人金想承诺对借款人上述债务提供连带责任保证，保证期间为两年，保证范围为借款本金、利息及贷款人为实现债权而发生的所有费用（包括但不限于诉讼费用、律师代理费、差旅费等）。,担保人,,通过
jiekuan-2,到期还本付息,还款方式,,通过
jiekuan-4,"借款人、保证人确认如下地址为法院诉讼文书送达地址。
借款人确认送达地址：江西省潜江县安次永安路i座356850号收件人：王萍电话：147725119722.
保证人确认送达地址：甘肃省宁县南溪任街w座107091号收件人：金想电话：14502246392",通知与送达,,通过
