schema,pos rule,pos keywords,A pos legal advice,B pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis,risk statement,jiaoyan error advice
标题,识别,,,,未识别,,合同标题缺少，建议写明“买卖合同”合同类型字样。,低,【《中华人民共和国民法典》第五百九十五条】买卖合同是出卖人转移标的物的所有权于买受人，买受人支付价款的合同。,一般要在合同标题中准确反映合同性质，便于双方理解条款，但需注意，合同标题若与合同性质不一致的，合同性质会以合同反映的真实法律关系为准。,
签订地,识别,,,,未识别，不作审核,,,低,"【《中华人民共和国民法典》第四百九十二条】承诺生效的地点为合同成立的地点。
采用数据电文形式订立合同的，收件人的主营业地为合同成立的地点；没有主营业地的，其住所地为合同成立的地点。当事人另有约定的，按照其约定。|【《中华人民共和国民法典》第四百九十三条】当事人采用合同书形式订立合同的，最后签名、盖章或者按指印的地点为合同成立的地点，但是当事人另有约定的除外。",,
甲方,识别,卖方,,,未识别,,甲方姓名或名称缺少，建议添加。,中,,,
甲方身份证号/统一社会信用代码,身份证号校验|信用代码校验,,,,未识别,,甲方身份证号/统一社会信用代码缺少，建议添加，并且据此了解对方企业的资信状况。,中,,,甲方身份证号/统一社会信用代码校验错误，建议核实。
甲方法定代表人/授权代表,识别,,,,未识别,,若主体为公司，则建议添加。一般货物买卖合同都会有明确的联系人，由法人或者授权代表负责推进合同履行，因此需在合同中写明，便于双方沟通。,中,,,
甲方地址,识别,,,,未识别,,缺少甲方地址信息，建议添加。,中,,,
甲方联系方式,联系方式校验,,,,未识别,,缺少甲方联系方式，建议添加。,中,,,甲方联系方式校验错误，建议核实。
乙方,识别,买方,,,未识别,,乙方姓名或名称缺少，建议添加。,中,,,
乙方身份证号/统一社会信用代码,身份证号校验|信用代码校验,,,,未识别,,乙方身份证号/统一社会信用代码缺少，建议添加，并且据此了解对方企业的资信状况。,中,,,甲方身份证号/统一社会信用代码校验错误，建议核实。
乙方法定代表人/授权代表,识别,,,,未识别,,若乙方为公司，建议添加。一般货物买卖合同都会有明确的联系人，由法人或者授权代表负责推进合同履行，因此需在合同中写明，便于双方沟通。,中,,,
乙方联系方式,联系方式校验,,,,未识别,,乙方联系方式缺少，建议添加。,中,,,乙方联系方式校验错误，建议核实。
乙方地址,识别,,,,未识别,,缺少乙方地址信息，建议添加。,中,,,
鉴于条款,识别,,,,未识别，不作审核,,,低,,,
产品名称,识别,,,,识别,烟草|农药|化肥|酒|枪支|弹药,买卖合同标的物不能是法律禁止或者限制流通的标的物。限制流通的商品，双方需要审查商品的经营许可证，未取得的，合同可能会被认定为无效；禁止流通的，私自流通不但会被认定为合同无效，还会被追究刑事责任。,高,"【《中华人民共和国民法典》第五百九十七条 】因出卖人未取得处分权致使标的物所有权不能转移的，买受人可以解除合同并请求出卖人承担违约责任。
法律、行政法规禁止或者限制转让的标的物，依照其规定。",产品名称有关到买卖合同的效力，产品名称应该规范化，忌用缩写、代称、口头语，符合交易习惯。对产品的定义要精细准确，双方对产品的规格、品牌、型号等信息有要求的，都应写明。,
产品数量（重量）,识别,".{0,4}箱|.{0,4}件|.{0,4}打|.{0,4}扎|.{0,4}车|.{0,4}框|.{0,4}个|.{0,4}枚|.{0,4}瓶",,,未识别,,缺少产品数量，建议添加。,高,【《中华人民共和国民法典》第五百九十六条】买卖合同的内容一般包括标的物的名称、数量、质量、价款、履行期限、履行地点和方式、包装方式、检验标准和方法、结算方式、合同使用的文字及其效力等条款。,应对计量方法做出具体解释，切不可用含糊不清的计量概念防止产生分歧，做到明确具体。另外，在一些行业的买卖合同中，可规定合理损耗。,
产品质量,识别,产品质量|技术指标|合格标准,,,未识别,,"产品质量条款缺少,如果未约定质量条款，对于卖方来讲，买方可能会以不符合其质量标准为由拒绝签收或拒绝付款、少付款。",高,【《中华人民共和国民法典》第六百一十五条】出卖人应当按照约定的质量要求交付标的物。出卖人提供有关标的物质量说明的，交付的标的物应当符合该说明的质量要求。,产品质量在货物买卖类合同中非常重要，双方要选定一个具体的质量标准来执行，不可出现模糊化，概念化的词语。,
产品价格,识别,,,,未识别,,当事人应当对价款或者报酬进行明确约定，价款或者报酬不明确的，按照订立合同时履行地的市场价格履行;依法应当执行政府定价或者政府指导价的，依照规定履行。,高,【《中华人民共和国民法典》第五百九十六条】买卖合同的内容一般包括标的物的名称、数量、质量、价款、履行期限、履行地点和方式、包装方式、检验标准和方法、结算方式、合同使用的文字及其效力等条款。,"在确定产品价格时需注意:
1、价格是否含税及税率;
2、产品单价、总价款的计算方式;
3、准确的款项支付时间（包括分期付款的和达到何种付款条件的）;
4、金额最好注明大写和小写（不易被修改）。",
交货时间,识别,,在磋商交货时间条款时，卖方应当结合自身实际。在履行过程中应当按照约定的时间交付标的物。约定期限的，应当在期限内交付，约定交付期限的，卖方可以在该交付期限内的任何时间交付，一旦逾期，就可能面临违约责任。卖方应当按照约定的时间交付标的物。,买方应按照合同约定的交货时间按时收货，如逾期收货造成损失，此时卖方已经履行了交货相关义务，损失由买方承担。,未识别,,交货时间条款缺少，建议添加。,高,【《中华人民共和国民法典》第六百零一条】出卖人应当按照约定的时间交付标的物。约定交付期限的，出卖人可以在该交付期限内的任何时间交付。|【《中华人民共和国民法典》第六百零二条】当事人没有约定标的物的交付期限或者约定不明确的，适用本法第五百一十条、第五百一十一条第四项的规定。,卖方在履行过程中应当按照约定的时间交付标的物。,
交货地点,识别,".{0,4}省.{0,4}市.{0,4}（区|县）|交货地|送货地址|收货地址",卖方应当按照约定的地点交付标的物。,买方应当及时在交货地点接受货物。,未识别,,缺少交货地点，建议添加。,高,"【《中华人民共和国民法典》第六百零三条 】出卖人应当按照约定的地点交付标的物。
当事人没有约定交付地点或者约定不明确，依据本法第五百一十条的规定仍不能确定的，适用下列规定:
(一)标的物需要运输的，出卖人应当将标的物交付给第一承运人以运交给买受人;
(二)标的物不需要运输，出卖人和买受人订立合同时知道标的物在某一地点的，出卖人应当在该地点交付标的物;不知道标的物在某一地点的，应当在出卖人订立合同时的营业地交付标的物。",交付地点的确定，关系到货物毁损、灭失风险的移转，应做出明确约定。履行地点不明确，给付货币的，在接受货币一方所在地履行;交付不动产的，在不动产所在地履行;其他标的，在履行义务一方所在地履行。,
交付方式,识别,交货方式|履行方式|交付方式,交付时一定要求对方签字来证明对方已收货，我方已完成交付。如果合同中没有指定收货人，需要求对方出示买方的授权文件或用其他方式来证明已取得授权，并需要相关证明文件来证明交付已完成。用拍照或录像的方式记录交付过程作为证据。还需写明卸货方和卸货费用的承担。,除按合同要求完成交付外，还要在合同中明确如果卖方未按交付要求交付的后果，并且要用拍照或录像的方式来记录交付过程。,未识别,,交付方式条款缺少，建议添加。履行方式不明确的，按照有利于实现合同目的的方式履行，双方也可以另行签订补充协议进行约定。,高,,交付方式的约定关系到买卖合同标的的履行，合同双方应当约定合理、明确的交付方式。,
包装方式,识别,包装规格|产品包装|包装方式,卖方应当按照约定的包装方式交付标的物。作为卖方应与买方沟通好所需的包装方式，包装费用，以防买方因包装不符合要求为由拒绝付款。,包装与质量和验收息息相关作为买方需要要求卖方写清其包装标准，具体包括包装材料，包装物的供应与回收。,未识别,,包装方式缺少，建议添加。对包装方式没有约定或者约定不明确，应当按照通用方式包装；没有通用方式的，应采取资源节约、生态保护的方式包装。,高,【《中华人民共和国民法典》第六百一十九条】出卖人应当按照约定的包装方式交付标的物。对包装方式没有约定或者约定不明确，依据本法第五百一十条的规定仍不能确定的，应当按照通用的方式包装；没有通用方式的，应当采取足以保护标的物且有利于节约资源、保护生态环境的包装方式。,合同应当约定明确的包装方式和包装标准。,
