schema,pos rule,pos keywords,A pos legal advice,B pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis,risk statement,jiaoyan error advice,,
标题,识别,离婚协议|自愿离婚协议,,,未识别,,协议的标题缺失，建议写明“离婚协议”等字样。,低,【《中华人民共和国民法典》第一千零七十六条】夫妻双方自愿离婚的，应当签订书面离婚协议，并亲自到婚姻登记机关申请离婚登记。,,,,
男方姓名,识别,甲方|协议人,,,未识别,,男方姓名缺失，建议补充完整。,中,,男方姓名应当与结婚证上的姓名一致。,,,
男方身份证号,身份证号校验,,,,未识别,,男方身份证号缺失，建议补充完整。,中,,,男方身份证号校验错误，建议核实。,,
男方地址,识别,现住.*,,,未识别,,男方地址缺失，建议补充完整。,中,,,,,
男方联系方式,联系方式校验,,,,未识别,,男方联系方式缺失，建议补充完整。,中,,,男方联系方式校验错误，建议核实。,,
女方姓名,识别,乙方|协议人,,,未识别,,女方姓名缺失，建议补充完整。,中,,女方姓名应当与结婚证上的姓名一致。,,,
女方身份证号,身份证号校验,,,,未识别,,女方身份证号缺失，建议补充完整。,中,,,女方身份证号校验错误，建议核实。,,
女方联系方式,联系方式校验,,,,未识别,,女方联系方式缺失，建议补充完整。,中,,,女方联系方式校验错误，建议核实。,,
女方地址,识别,现住.*,,,未识别,,女方地址缺失，建议补充完整。,中,,,,,
鉴于条款,识别,,,,未识别，不作审核,,,低,,,,,
结婚登记信息,识别,.*民政局登记结婚,,,未识别,,"结婚登记信息条款缺失，建议补充完整。
离婚协议书中建议写明结婚登记时间、登记机关。",中,,结婚登记是离婚登记的前提，结婚登记信息是离婚协议的常备条款。,,,
离婚原因,识别,感情破裂|协商.*离婚|性格不合,,,未识别,,离婚原因缺失，建议补充完整。,中,,离婚原因与是否自愿离婚直接相关，离婚协议书中载明双方感情破裂，无和好可能，自愿离婚的意思表示。,,,
自愿离婚,识别,自愿.*离婚,,,未识别,,自愿离婚条款缺失，建议补充完整。,高,【《中华人民共和国民法典》第一千零七十八条】婚姻登记机关查明双方确实是自愿离婚，并已经对子女抚养、财产以及债务处理等事项协商一致的，予以登记，发给离婚证。,离婚协议书中载明双方自愿离婚的意思表示。未表明自愿离婚可能会影响离婚登记。,,,
分居,识别,.*年.*月.*日分居,,,未识别，不作审核,,,低,,,,,
子女抚养,识别,孩子.*抚养|孩子.*负责,,,未识别,,"子女抚养条款缺失或约定不明确，建议补充完整。
未对子女抚养协商一致可能会影响离婚登记。",高,"【《中华人民共和国民法典》第一千零七十六条】夫妻双方自愿离婚的，应当签订书面离婚协议，并亲自到婚姻登记机关申请离婚登记。
离婚协议应当载明双方自愿离婚的意思表示和对子女抚养、财产以及债务处理等事项协商一致的意见。|【《中华人民共和国民法典》第一千零八十四条】父母与子女间的关系，不因父母离婚而消除。离婚后，子女无论由父或者母直接抚养，仍是父母双方的子女。
离婚后，父母对于子女仍有抚养、教育、保护的权利和义务。
离婚后，不满两周岁的子女，以由母亲直接抚养为原则。已满两周岁的子女，父母双方对抚养问题协议不成的，由人民法院根据双方的具体情况，按照最有利于未成年子女的原则判决。子女已满八周岁的，应当尊重其真实意愿。",离婚协议中一般会约定由父或母直接抚养孩子，双方也可约定共同或轮流抚养子女。,,,
抚养费支付期间,识别,给付至.*,,,未识别,,"抚养费支付期限条款缺失或约定不明确，建议补充完整。
不直接抚养子女的一方应该负担全部或部分抚养费，一般建议约定抚养费给付至子女成年或有独立生活能力。",高,"【《中华人民共和国民法典》第一千零八十五条】离婚后，子女由一方直接抚养的，另一方应当负担部分或者全部抚养费。负担费用的多少和期限的长短，由双方协议；协议不成的，由人民法院判决。
前款规定的协议或者判决，不妨碍子女在必要时向父母任何一方提出超过协议或者判决原定数额的合理要求。",抚养费负担费用的期限的长短，由双方协商，建议在协议中明确写明具体的支付期限，防止后续纠纷。,,,
抚养费金额,识别,,,,未识别,,抚养费金额条款缺失或约定不明确，建议补充完整。对于抚养费的具体金额，应当明确约定，还可以对子女的教育费、医疗费等相关费用作出额外约定。还应当考虑到物价涨幅等因素，可以约定抚养费根据物价上涨指数适当递增。,高,"【《中华人民共和国民法典》第一千零八十五条】离婚后，子女由一方直接抚养的，另一方应当负担部分或者全部抚养费。负担费用的多少和期限的长短，由双方协议；协议不成的，由人民法院判决。
前款规定的协议或者判决，不妨碍子女在必要时向父母任何一方提出超过协议或者判决原定数额的合理要求。",抚养费负担的多少，由双方协议约定。,,,
抚养费支付方式,识别,,,,未识别,,抚养费支付方式条款缺失或约定不明确，建议补充完整。,高,,离婚协议中需要对子女的抚养费做出约定，建议明确约定抚养费给付方式，明确收款项账户或者微信、支付宝。,,,
抚养费支付时间、周期,识别,按月给付|每月.*日前给付|一次性支付,,,未识别,,抚养费支付时间、周期条款缺失或约定不明确，建议补充完整。,高,"【《中华人民共和国民法典》第一千零八十四条】父母与子女间的关系，不因父母离婚而消除。离婚后，子女无论由父或者母直接抚养，仍是父母双方的子女。
离婚后，父母对于子女仍有抚养、教育、保护的权利和义务。
离婚后，不满两周岁的子女，以由母亲直接抚养为原则。已满两周岁的子女，父母双方对抚养问题协议不成的，由人民法院根据双方的具体情况，按照最有利于未成年子女的原则判决。子女已满八周岁的，应当尊重其真实意愿。
【《中华人民共和国民法典》第一千零八十五条】离婚后，子女由一方直接抚养的，另一方应当负担部分或者全部抚养费。负担费用的多少和期限的长短，由双方协议；协议不成的，由人民法院判决。
前款规定的协议或者判决，不妨碍子女在必要时向父母任何一方提出超过协议或者判决原定数额的合理要求。|【《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）第四十二条】民法典第一千零六十七条所称“抚养费”，包括子女生活费、教育费、医疗费等费用。",离婚协议中需要对子女的抚养费做出约定，建议明确约定抚养费给付时间以及周期等，比如是一次性给付或是按月给付，,,,
探望时间,识别,,,,未识别,,探望时间条款缺失或约定不明确，建议补充完整。,中,"【《中华人民共和国民法典》第一千零八十六条】离婚后，不直接抚养子女的父或者母，有探望子女的权利，另一方有协助的义务。
行使探望权利的方式、时间由当事人协议；协议不成的，由人民法院判决。
父或者母探望子女，不利于子女身心健康的，由人民法院依法中止探望；中止的事由消失后，应当恢复探望。",探望权条款是离婚协议中的重要条款，建议双方对探望时间协商一致，明确约定，例如一个周期内具体探望时间，还可以对节假日的探望时间作出具体规定。,,,
